name,lat,long,max_temp,humidity,cloudiness,wind_speed,country
Tirumullaivāsal,11.2333,79.8333,85.42,70,77,18.41,IN
Krasnosel'kup,65.7,82.4667,47.68,95,100,12.21,RU
Innisfail,-17.5333,146.0333,64.11,85,99,4.79,AU
Kodinsk,58.6881,99.1844,70.21,58,100,2.95,RU
Vigrestad,58.5667,5.7,65.88,91,100,6.35,NO
Fortuna,40.5982,-124.1573,55.33,96,90,0.0,US
Altamira,-3.2033,-52.2064,89.69,62,40,8.05,BR
Itacaré,-14.2775,-38.9967,78.69,66,29,6.82,BR
Gobabis,-22.45,18.9667,66.42,18,0,8.14,NA
Bazarnye Mataki,54.8833,49.9333,69.1,58,87,6.51,RU
Tiznit Province,29.5833,-9.5,86.9,38,0,9.84,MA
Hong Kong,22.2855,114.1577,86.32,82,74,1.01,HK
Teguise,29.0605,-13.564,75.42,57,20,21.85,ES
Russell,32.3502,-85.1999,85.98,80,1,0.0,US
Anadyr,64.75,177.4833,54.1,93,75,5.99,RU
Mackay,-21.15,149.2,59.04,94,53,3.44,AU
Emba,48.8264,58.1442,82.4,23,64,14.2,KZ
Kyren,51.6828,102.1408,63.9,82,67,1.41,RU
Saint-Augustin,51.226,-58.6502,63.21,91,100,7.11,CA
Hapao,16.8797,121.016,70.21,97,100,4.99,PH
Sabha,27.0377,14.4283,99.0,11,0,8.01,LY
Zaysan,47.4667,84.8667,70.0,50,7,10.89,KZ
Guiglo,6.5456,-7.4966,82.11,66,98,4.45,CI
Banda Aceh,5.5577,95.3222,80.94,81,73,13.42,ID
Chābua,27.4825,95.1736,78.1,93,93,4.25,IN
Lorengau,-2.0226,147.2712,82.4,75,27,7.52,PG
Kitimat,54.0524,-128.6534,55.78,96,100,0.89,CA
Faya,18.3851,42.4509,69.91,72,99,9.57,SA
Ottappālam,10.7667,76.3833,78.55,96,99,3.42,IN
Monopoli,40.9559,17.2896,102.36,53,1,6.58,IT
Sovetskiy,61.3614,63.5842,54.57,53,78,9.15,RU
Progreso,21.2833,-89.6667,86.11,65,8,8.52,MX
Baruun-Urt,46.6806,113.2792,65.75,57,85,7.31,MN
Leh,34.1667,77.5833,77.04,24,28,4.29,IN
Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,73.67,82,93,4.94,CN
Talakan,50.3167,130.3667,71.31,98,100,4.0,RU
Virtsu,58.5716,23.5115,77.02,84,100,11.63,EE
Fort Nelson,58.8053,-122.7002,54.99,88,40,2.3,CA
Eureka,40.8021,-124.1637,55.58,94,100,1.01,US
Kutum,14.2,24.6667,82.08,49,89,11.39,SD
Ábrego,8.0807,-73.2205,66.78,89,98,1.97,CO
Bandarbeyla,9.4942,50.8122,80.85,66,98,29.1,SO
Polovinnoye,54.7914,65.9864,64.09,62,92,8.84,RU
Niamtougou,9.7681,1.1053,76.84,73,75,9.22,TG
Tromsø,69.6496,18.957,77.65,67,0,12.66,NO
Terney,45.0503,136.6092,69.44,94,45,1.83,RU
Diffa,13.3154,12.6113,84.22,60,99,8.75,NE
Mikkeli,61.6886,27.2723,84.31,34,0,5.75,FI
Pisco,-13.7,-76.2167,65.01,82,20,1.14,PE
Labuhan,-6.8844,112.2051,75.76,79,44,8.03,ID
Carberry,49.8689,-99.3602,66.43,34,0,5.53,CA
Lomovka,53.9194,58.3672,68.92,61,43,7.0,RU
Angoram,-4.0625,144.0661,73.63,99,61,1.95,PG
San Lorenzo,-25.3333,-57.5333,54.59,66,20,15.99,PY
Kamenka,51.3223,42.7678,80.6,40,59,12.66,RU
Gannan,47.9147,123.5031,66.54,94,70,1.68,CN
Derzhavīnsk,51.1,66.3167,67.51,38,22,10.85,KZ
Alice Springs,-23.7,133.8833,74.75,27,75,9.22,AU
Manado,1.487,124.8455,77.77,83,20,1.14,ID
Sibu,2.3,111.8167,80.91,88,40,1.01,MY
Hambantota,6.1241,81.1185,80.71,80,88,18.21,LK
Lima,-12.0432,-77.0282,63.9,87,90,4.61,PE
Jacareacanga,-6.2222,-57.7528,88.11,62,0,2.3,BR
Brae,60.3964,-1.353,55.31,83,92,8.16,GB
Port Lincoln,-34.7333,135.8667,56.1,74,49,29.44,AU
Laguna,38.421,-121.4238,78.64,51,1,3.44,US
Loei,17.4167,101.5,66.74,93,100,4.97,TH
Kairana,29.4,77.2,82.04,89,100,3.85,IN
Berlevåg,70.8578,29.0864,58.8,87,62,9.35,NO
Pitogo,13.7847,122.0881,81.75,82,75,6.44,PH
Atbasar,51.8,68.3333,60.22,52,45,1.52,KZ
Bonthe,7.5264,-12.505,78.28,83,98,11.81,SL
Gazli,40.1333,63.45,95.63,10,0,22.28,UZ
Kiryat Gat,31.61,34.7642,90.39,45,0,13.71,IL
Parnamirim,-5.9156,-35.2628,82.74,88,75,13.8,BR
Kauhajoki,62.4333,22.1833,87.4,25,73,1.7,FI
Bethel,41.3712,-73.414,87.03,65,1,1.99,US
Negri,46.7,26.9667,91.62,73,70,3.8,RO
Valparaíso,-33.0393,-71.6273,55.63,70,0,8.05,CL
Nhulunbuy,-12.2333,136.7667,72.21,94,17,4.61,AU
Coro,11.4045,-69.6734,86.54,63,71,10.49,VE
Mayskiy,47.6931,40.1025,85.44,33,100,3.65,RU
Ýpsonas,34.6884,32.9574,95.76,66,0,9.22,CY
Cockburn Town,21.4612,-71.1419,82.29,78,89,20.02,TC
Japura,-0.3167,102.35,75.81,67,4,3.53,ID
Xining,36.6167,101.7667,55.09,82,63,1.57,CN
Port Hardy,50.6996,-127.4199,53.6,100,40,2.3,CA
Motala,58.5371,15.0365,73.18,94,100,10.04,SE
Nicoya,10.1483,-85.452,78.35,74,42,3.09,CR
Cairo Montenotte,44.4031,8.2746,83.48,99,49,8.05,IT
Dowa,-13.654,33.9375,64.67,34,45,6.98,MW
Sena Madureira,-9.0656,-68.6569,89.13,46,55,3.33,BR
Mount Gambier,-37.8333,140.7667,57.11,82,90,19.57,AU
Comodoro Rivadavia,-45.8667,-67.5,46.26,57,75,13.8,AR
Coahuayana Viejo,18.7333,-103.6833,81.1,82,98,1.79,MX
Campinas,-22.9056,-47.0608,81.09,32,0,12.66,BR
Arroyo de la Encomienda,41.6096,-4.7969,89.15,24,0,11.5,ES
Farafangana,-22.8167,47.8333,61.29,91,48,16.24,MG
Hervey Bay,-25.2986,152.8535,57.04,76,2,0.96,AU
Pandan,14.0453,124.1694,83.07,77,83,17.45,PH
Yārāda,17.65,83.2667,86.32,74,75,8.05,IN
Channahon,41.4295,-88.2287,83.84,70,1,0.0,US
Namatanai,-3.6667,152.4333,79.07,81,31,6.2,PG
Karasjok,69.4719,25.5112,64.51,49,100,6.98,NO
Tadine,-21.55,167.8833,66.15,65,3,11.74,NC
Acaraú,-2.8856,-40.12,87.93,52,42,16.55,BR
Pampa,35.5362,-100.9599,84.24,65,1,9.22,US
Upata,8.0086,-62.3989,82.4,65,56,5.61,VE
San Andrés,12.5847,-81.7006,84.22,79,75,9.22,CO
Tura,25.5198,90.2201,77.22,95,100,4.0,IN
Sāhibganj,25.25,87.65,85.75,79,100,5.1,IN
Moscow,55.7522,37.6156,84.43,27,3,5.1,RU
Jones,16.5571,121.7029,80.06,72,100,5.77,PH
Plouzané,48.3833,-4.6167,68.32,64,75,11.5,FR
Fayaoué,-20.65,166.5333,70.23,64,1,18.37,NC
Qaqortoq,60.7167,-46.0333,59.5,57,98,6.91,GL
Silvassa,20.2667,73.0167,78.55,87,100,15.23,IN
Santa Rosa,14.3122,121.1114,83.91,91,100,15.19,PH
Zalesovo,53.9939,84.7431,57.81,67,28,5.1,RU
Omboué,-1.5746,9.2618,78.73,67,90,10.49,GA
Koulikoro,14.0,-7.75,86.16,59,98,8.66,ML
Sebring,27.4956,-81.4409,87.98,76,40,1.99,US
Olinda,-8.0089,-34.8553,78.53,73,40,6.91,BR
Fairbanks,64.8378,-147.7164,58.1,84,75,3.44,US
Ossora,59.2353,163.0719,55.96,76,100,9.44,RU
Jadu,31.953,12.0261,94.39,13,0,8.23,LY
Valdosta,30.8327,-83.2785,86.41,86,90,0.0,US
Mitú,1.1983,-70.1733,83.79,64,71,3.02,CO
Purgstall,48.0584,15.1348,87.66,50,79,7.52,AT
Krasnyy Kut,50.95,46.9667,80.74,32,11,8.39,RU
Eirunepé,-6.6603,-69.8736,87.53,53,89,2.26,BR
Neuquén,-38.9516,-68.0591,44.49,49,0,9.22,AR
Rāwatsār,29.2833,74.3833,96.71,43,96,12.21,IN
Takāb,36.4009,47.1133,90.46,15,97,4.5,IR
Tongliao,43.6125,122.2653,75.09,64,87,4.59,CN
Ilo,-17.6394,-71.3375,59.86,88,90,11.5,PE
Meadow Lake,34.8014,-106.5436,72.73,48,75,4.29,US
Kintampo,8.0563,-1.7306,82.2,59,100,6.33,GH
Zhigansk,66.7697,123.3711,54.39,72,53,11.36,RU
San Esteban,15.2,-85.75,86.9,58,59,0.49,HN
Wuning,29.2589,120.2311,76.64,96,100,3.0,CN
Pataskala,39.9956,-82.6743,84.78,58,1,1.99,US
Solotcha,54.7917,39.8442,80.91,38,62,6.11,RU
Knyaze-Volkonskoye,48.4642,135.4567,79.14,62,100,3.87,RU
Visby,57.6409,18.296,71.94,78,40,9.22,SE
Tilichiki,60.4667,166.1,49.08,89,100,9.17,RU
Ascension,30.2169,-90.9001,90.0,80,1,0.0,US
Senhor do Bonfim,-10.4614,-40.1894,76.12,64,82,8.57,BR
Gao,16.6362,1.637,95.23,39,100,14.07,ML
Daye,30.0833,114.95,78.04,93,31,8.68,CN
Dunedin,-45.8742,170.5036,47.8,65,42,3.0,NZ
